Year,REGIONCODE,ZONECODE,RK_NAME,WHEATAREA,WHEATOUTPUT,WHEATDAMAGE_WEATHER_AREA_P,WHEATDAMAGE_PESTS_AREA_P,WHEATDAMAGE_DROUGHT_AREA_P,WHEATOPH_W,WHEATDAMAGEAREA
2015,1,103,Ager Lekoma,.7048160005360842,11.83077996969223,.9976272,0,.9976272,16.785629,.7031435985118151
2011,1,103,MELIWALO,.8620440002996475,16.63745967298746,0,0,0,19.300013,0
2012,1,103,MELIWALO,.6823129970580339,15.50513013452292,.35338619,.010980767,0,22.724365,.2486123209819198
2013,1,103,MELIWALO,.3923269999213517,6.15990998223424,.20862189,0,.20075218,15.700958,.0818479999434203
2014,1,103,MELIWALO,.4635860025882721,5.339730009436607,.22023085,0,0,11.518316,.1020959401503205
2015,1,103,MELIWALO,.8254959974437952,12.63639980554581,0,0,0,15.307645,0
2011,1,103,EMIBA AKEMENA,.7018079943954945,9.54459011554718,.21307252,0,0,13.600002,.1495359987020493
2012,1,103,EMIBA AKEMENA,.8223760072141886,3.231749974191189,.35536543,0,0,3.9297717,.2922439877875149
2013,1,103,EMIBA AKEMENA,1.192395990714431,16.82245007902384,.15870382,0,0,14.108107,.1892377975163981
2014,1,103,EMIBA AKEMENA,3.66409998992458,56.91180977970362,.061906472,0,0,15.532275,.2268315032124519
2015,1,103,EMIBA AKEMENA,1.060368014499545,17.23919992148876,.38663983,0,.18522885,16.257751,.4099805094301701
2011,1,103,EGIAZI,4.629638988291845,111.5742995664477,.056914553,.027474238,.0011348077,24.1,.5357337860041298
2012,1,103,EGIAZI,4.070893993601203,32.34324984997511,.0093114069,.035998296,0,7.9449992,.269273747690022
2013,1,103,EGIAZI,4.793239001184702,94.16389951109886,.2389573,0,0,19.645149,1.145379429799505
2014,1,103,EGIAZI,4.108087006723508,88.54245011880994,.069966823,.099385239,0,21.553207,1.005879034462851
2015,1,103,EGIAZI,4.316047992091626,76.0927304700017,.2982544,0,.2982544,17.630186,1.620971247670241
2011,1,103,HAWIL,.4902600012719631,11.32501006126404,.22279501,0,0,23.100008,.1092274789698422
2012,1,103,HAWIL,.2009279988706112,3.209920018911362,0,0,0,15.975474,0
2013,1,103,HAWIL,.0482040010392666,.6800600290298462,.84999996,0,0,14.107958,.0409733988344669
2014,1,103,HAWIL,.0864029992371798,1.349580019712448,.44163537,0,0,15.619596,.0381586197763681
2015,1,103,HAWIL,.5675609959289432,5.752089932560921,.34097102,0,.31434304,10.134752,.1935218491125852
2011,1,103,GUMIS AGAMAT,3.95617197919637,67.25494968891144,.022564994,.19221817,.0010464661,17.000006,.8497191378846765
2012,1,103,GUMIS AGAMAT,6.010494000278413,111.9378901124001,.017523618,0,0,18.623741,.1053256019949913
2013,1,103,GUMIS AGAMAT,3.470505019649863,33.16798982769251,.0045955847,.077424467,0,9.5571079,.2846510028466582
2014,1,103,GUMIS AGAMAT,5.614340949803591,79.85490030050278,.014109083,0,.0053720283,14.223379,.0792132001370192
2015,1,103,GUMIS AGAMAT,1.803520009852946,43.60101970285177,.12007331,0,.12007331,24.175512,.2165546207688749
2011,1,103,Beatemayi Misat,3.9475980210118,95.92666970193386,.11738916,.015624942,0,24.300009,.6481432148721069
2012,1,103,Beatemayi Misat,3.158489003777504,66.91778998076916,.39328501,.015666669,0,21.186647,1.318137102760375
2013,1,103,Beatemayi Misat,1.849343994632363,22.72416976094246,.34331551,.013695938,0,12.287692,.6602369933389127
2014,1,103,Beatemayi Misat,1.794867984950542,32.26373989880085,.099752821,.028312406,0,17.97555,.2298601791262627
