"ZONENAME","ZONECODE","WOREDANAME","WOREDACODE","Year","REGIONCODE","RK_NAME","WHEATAREA","WHEATOUTPUT","WHEATDAMAGEAREA_P","WHEATDAMAGE_DROUGHT_AREA_P","WHEATOPH_W"
"YEM",712,"YEME SPECIAL",71201,"01-01-2012",7,"SHOSHO",5.69269806984812,89.2391802817583,0.023817915469408,0,15.6760778427124
"YEM",712,"YEME SPECIAL",71201,"01-01-2013",7,"SHOSHO",5.18036696314812,141.942049365491,0.0978352129459381,0,27.3999996185303
"YEM",712,"YEME SPECIAL",71201,"01-01-2014",7,"SHOSHO",6.14084895886481,56.4957905113697,0,0,9.19999694824219
"YEM",712,"YEME SPECIAL",71201,"01-01-2015",7,"SHOSHO",4.69764697924256,76.1018707901239,0,0,16.1999969482422
"YEM",712,"YEME SPECIAL",71201,"01-01-2010",7,"SOMU AWASHO",8.89020495815203,108.460499882698,0.138860076665878,0,12.1999998092651
"YEM",712,"YEME SPECIAL",71201,"01-01-2011",7,"SOMU AWASHO",11.1824760483578,139.781030133367,0.0342714004218578,0.0178720988333225,12.5000066757202
"YEM",712,"YEME SPECIAL",71201,"01-01-2012",7,"SOMU AWASHO",8.11274995841086,92.5703905969858,0.0198807306587696,0,11.4104824066162
"YEM",712,"YEME SPECIAL",71201,"01-01-2013",7,"SOMU AWASHO",10.7201239541173,212.258459866047,0,0,19.8000011444092
"YEM",712,"YEME SPECIAL",71201,"01-01-2014",7,"SOMU AWASHO",9.42626303667203,215.861410617828,0.00570635451003909,0,22.8999977111816
"YEM",712,"YEME SPECIAL",71201,"01-01-2015",7,"SOMU AWASHO",7.0418749601813,138.020729439333,0,0,19.5999965667725
"YEM",712,"YEME SPECIAL",71201,"01-01-2010",7,"KERIZIDOYO",12.7514589712955,243.553098700941,0.0680541917681694,0,19.1000175476074
"YEM",712,"YEME SPECIAL",71201,"01-01-2011",7,"KERIZIDOYO",12.6367838513106,199.661200165749,0.00215925206430256,0,15.8000011444092
"YEM",712,"YEME SPECIAL",71201,"01-01-2012",7,"KERIZIDOYO",11.1105419918895,118.482849270105,0.0127523029223084,0,10.6640024185181
"YEM",712,"YEME SPECIAL",71201,"01-01-2013",7,"KERIZIDOYO",13.7131670652889,234.495149485767,0,0,17.1000003814697
"YEM",712,"YEME SPECIAL",71201,"01-01-2014",7,"KERIZIDOYO",17.3140579536557,237.202609479427,0.004034040030092,0,13.7000007629395
"YEM",712,"YEME SPECIAL",71201,"01-01-2015",7,"KERIZIDOYO",8.62894396483898,116.490740895271,0,0,13.5
